mitqut	(mitq)+ut
aulattijuq	(aulatti)+juq
hivunikhaqhiuqtuq	hivun+(i)+khaq+hiuq+tuq
hunak	(huna)+k
qitun’raq	qi+(tun’r)+aq
uunaqun	(uunaq)+un
kigiqtuq	(kig)+iqtuq
aahivak	a+(ahi)+vak
qijualiuqtuq	qi+(jua)+liuq+tuq
tuktuvallak	(tuktuva)+llak
kilgavikpak	ki+(lgavik)+pak
haumingni	(haumi)+ngni
kanguujaq	kang+(uuj)+aq
kihimngiurumajuq	ki+(himngiuruma)+juq
sikiituuqtuq	(sikii)+tuuq+tuq
qagaaqtuq	(qaga)+aq+tuq
nangiqtuq	(nang)+iqtuq
iniqtuq	(iniq)+tuq
nauttiaq	(nau)+ttiaq
pulaaqtuq	(pula)+aq+tuq
atuqtuujaqtuq	(atuqtuuj)+aq+tuq
kigutigikhaqtuq	kigu+(tigikh)+aq+tuq
aniqhaumijaaqtuq	a+(niqhaumija)+aq+tuq
uhiaruti	(uhiar)+uti
piannaqtuq	(pian)+naq+tuq
anuraaqtuq	(anura)+aq+tuq
nipiliurut	(nipiliur)+ut
qiamiqhuqtaa	qi+(amiqh)+uq+taa
akuliariktuq	(akulia)+rik+tuq
tipigikhaun	(tipigikha)+un
atan’ngujaq	a+(tan’nguj)+aq
hikulihaaq	hi+(kuli)+haaq
kuugaq	(kuuga)+q
tikitinnata	(tikitinna)+ta
tipaakuun	(tipaaku)+un
tulimaaq	t+(ulima)+aq
imitqutailaq	(imitqutail)+aq
pulgiq	p+(ulg)+iq
nuvalqhiq	(nuvalq)+hiq
arnaqtuqtuq	(arnaq)+tuq+tuq
atpa	(at)+pa
imiarjiraqtuq	(imiarjir)+aq+tuq
hanimun	(hanim)+un
aqajat	a+(qaja)+t
qapuk	qa+(pu)+k
tikitinnagit	(tikitinna)+git
iliharvigijaa	(iliharvi)+gijaa
pualrittit	(pualri)+ttit
aupajaavjaktuq	(aupajaavjak)+tuq
hukkijaaqtuq	hu+(kkija)+aq+tuq
paan’ruqtuq	paa+(n’ruq)+tuq
huvaiqtuq	hu+(va)+iqtuq
anu	a+(nu)
in’ngutaq	(in’ng)+ut+aq
aullarnata	a+(ullarna)+ta
ihuaqhijaa	ihuaq+(hi)+jaa
ungahiktuq	(ungahik)+tuq
qilluq	(qilluq)
inuaqtaa	(inu)+aq+taa
tagiuq	(tagiuq)
ukaliq	(uka)+liq
puptat	(pupta)+t
akiittuqtaqtuq	a+(kiittuqt)+aq+tuq
angun	(ang)+un
aptuniqtujuq	a+(ptuniqt)+ujuq
amaut	a+(ma)+ut
agiaqtaa	(agi)+aq+taa
akirarijaa	(akira)+rijaa
unaguittuq	una+gu+(it)+tuq
ivalu	(ivalu)
kuhirniq	(kuhirni)+q
uilgahuk	(uilg)+a+huk
aupajangajuq	(aupajanga)+juq
hiitqumingajuq	(hiitqum)+ingajuq
uuktuut	(uuktu)+ut
aplaangajuq	a+(plaanga)+juq
qiiq	(qi)+iq
iqhijuq	(iqhi)+juq
hilahiut	(hilahi)+ut
ipikhaqtaa	ipik+h+(aq)+taa
kikturiaq	ki+(kturi)+aq
uutiqtittuq	(uutiqti)+t+tuq
utaqqijaa	(utaqqi)+jaa
nuliangiqtuq	nulia+(ng)+iqtuq
iqaluktuq	(iqaluk)+tuq
imaatun	(ima)+atun
qanuqtaivakpiuk	qa+(nuqtaivakpi)+uk
paurvik	p+(aur)+vik
qiliqtuq	(qi)+liq+tuq
apquhaaqtaa	(apquha)+aq+taa
puptati	(pupta)+ti
kanangnaq	ka+(nang)+naq
pukkuq	p+(ukku)+q
patauliuqtuq	(patau)+liuq+tuq
ipikhaun	ipik+h+(a)+un
patiktaa	p+(atik)+taa
hiqquqtijjun	(hiqquqtijj)+un
iqutujuq	(iqutu)+juq
patuk	(pat)+uk
qqaajuqtuq	(qqaajuq)+tuq
pigliqtuq	(pigliq)+tuq
qin’ngauti	(qin’nga)+uti
ukutitaq	(uku)+ti+taq
aqiarurliuqtuq	(aqiarur)+liuq+tuq
naviktaa	n+(a)+vik+taa
ilingajuq	(il)+ingajuq
qin’ngaun	(qin’nga)+un
hivulliq	(hivu)+lliq
quqtuqqak	qu+(qtu)+qqak
apurvikhaqhiuqtuq	(apurvi)+khaq+hiuq+tuq
aujaq	a+(uj)+aq
ujurukhaq	(ujuru)+khaq
havviqun	(havviq)+un
unipkaaq	(unipka)+aq
qipingajuq	qi+(p)+ingajuq
ikummat	(ikum)+ma+t
qurlurniq	(qurlur)+niq
kukuktuq	(kuk)+uk+tuq
aijuq	a+(i)+juq
taimailiuqtuq	ta+(imai)+liuq+tuq
qanuritpa	(qanurit)+pa
nukakhaq	(nuka)+khaq
naalauti	(naala)+uti
aupajaaqtuq	(aupaja)+aq+tuq
hingiq	(hing)+iq
imingajuq	(im)+ingajuq
algauti	(alga)+uti
havarluqutainnannguqtuq	(havarluqutainnann)+guq+tuq
ikualajuq	(ikuala)+juq
nikhiktaa	(nikhik)+taa
qanniqtuq	qa+(nn)+iqtuq
piksasuurvik	p+(iksasuur)+vik
niqikhaqtaa	niqi+(kh)+aq+taa
kakiniq	ka+(ki)+niq
aqiaruijaijuq	(aqiaruij)+aijuq
qin’ngun	(qin’ngu)+n
aphaqpallaijuq	(aphaqpall)+aijuq
kitautiqtuq	ki+(taut)+iqtuq
niaqqulrujuq	(niaqqulr)+ujuq
pilihaarnirmin	(pilihaarnir)+min
immittuq	(imm)+it+tuq
uqqariktuq	(uqqa)+rik+tuq
nipiliurun	(nipiliur)+un
alrujiqiji	(alrujiqi)+ji
qilirniiqtaa	qil+irni+(iq)+taa
nakuunngittuq	(nakuu)+nngit+tuq
akikitqijaujuq	a+(kikitqija)+ujuq
uqummiaqtaa	(uqummi)+aq+taa
havangtinnahi	havang+(tinna)+hi
piniraq	p+(inir)+aq
utimun	(utim)+un
hunauva	huna+(uva)
nunguqhuqtuq	(nunguq)+hu+qtuq
uvaguk	(uvag)+uk
ahiaqtaqtuq	a+(hiaq)+taqtuq
hiut	(hi)+ut
qukturaq	(quktur)+aq
tatilgaq	ta+(tilg)+aq
anaqtaun	(anaqta)+un
hiipangnittuq	hi+(ipangni)+t+tuq
ittuaqtuq	(ittu)+aq+tuq
akuliak	(akulia)+k
ajaraaq	a+(jara)+aq
ublaigami	(ublaiga)+mi
hiulluktuq	hi+(ul)+luk+tuq
ivjaqun	(ivjaq)+un
qarjuk	(qa)+rj+uk
angujakti	(angujak)+ti
alianai	(alianai)
nujuaqtujuq	n+(ujuaqtu)+juq
publaumajuq	publ+(auma)+juq
uluaraut	ulu+(ara)+ut
tikinnani	tikin+(nani)
qallut	(qall)+ut
tagjaaqtuq	(tagj)+aaq+tuq
aallannguqtuq	a+(allann)+guq+tuq
titirarvigijaa	t+(itirarvi)+gijaa
tahitirijuq	tahi+(tiri)+juq
ukharjuk	(ukha)+rj+uk
kitkuk	ki+(tk)+uk
kigutigikhaun	kigu+(tigikha)+un
uluaqtaa	ulu+(aq)+taa
qitiraq	qi+(tir)+aq
taimani	ta+(im)+ani
hiirnaqtuq	hi+(ir)+naq+tuq
qirnangajuq	qi+(rnanga)+juq
ilijaa	(ili)+jaa
apiqhuivik	(apiqhui)+vik
initujuq	(init)+ujuq
aqittuq	(aq)+it+tuq
hiutik	hi+(u)+tik
anguaqtuq	(angu)+aq+tuq
inuaqtuq	(inu)+aq+tuq
atukkat	(atu)+kkat
arnarvik	(arnar)+vik
atuun	(atu)+un
kumiktuq	(ku)+mik+tuq
qablunaaq	(qablu)+naaq
najjak	(najja)+k
kiliqtaa	ki+(liq)+taa
aippaq	a+(ipp)+aq
ipu	(ipu)
atuqtitaa	(atuqti)+taa
taavani	ta+(av)+ani
anguhuqtuq	(angu)+hu+qtuq
tiuqtiuqtuq	(tiuqtiuq)+tuq
piujaqtuq	(piuj)+aq+tuq
ilaruhirijaa	(ilaruhi)+rijaa
hiquqtaa	(hiq)+uq+taa
ublaaq	(ublaa)+q
kakkiviaq	ka+(kkivi)+aq
piksaliuti	(piksali)+uti
tuphijuq	(tup)+hi+juq
qitiqqautijuq	qi+(tiqqauti)+juq
ihummarluktuq	(ihu)+mmarluk+tuq
hangiaktuq	(hangi)+ak+tuq
hilaluktuq	(hila)+luk+tuq
allaruti	(allar)+uti
haluuqtuq	(haluuq)+tuq
niripkaqtaa	(niri)+pkaq+taa
uqhurjuaqtaun	(uqhurjuaqta)+un
inukhiarijaa	(inukhia)+rijaa
aulvik	a+(ul)+vik
anniruhuktuq	(anniru)+huk+tuq
kuutiruq	(kuuti)+ruq
atungaq	a+(tung)+aq
uaqhiti	(uaqhi)+ti
imunrit	(i)+mun+rit
imiqtaa	(imiqta)+a
tuhaajaa	(tuhaa)+jaa
ajuaq	(aju)+aq
havangnata	havang+(na)+ta
uvattiaguttauq	(uvattia)+gu+ttauq
arnaqhiun	(arna)+qhi+un
pualulik	(pualu)+lik
hungaq	hu+(ng)+aq
