kivjautik	ki+(vja)+uti+k
atuqhimayunik	at+u+(q)+hima+yu+nik
anguti	a+(ng)+uti
iluliittuq	ilu+(li)+ittuq
allaijaijuq	a+ll+(aija)+i+j+uq
ikajuqtaujarialaqipluni	i+(kajuqtaujarialaqi)+plu+ni
inikhaqaqtuq	ini+(khaq)+a+qtuq
kinguniq	ki+(ngu)+niq
ai	a+(i)
ayuqharuirutikhainik	ayu+(qharuir)+utikh+a+i+nik
kivgaqtuidjutikhat	kivgaq+tu+(idj)+utikh+at
minguk	m+(ingu)+k
moderna	mode+(rna)
navvaq	na+v+(va)+q
qiamiqhuqtaa	qi+(amiqhu)+qtaa
munariniq	mu+na+(ri)+niq
tariukkuuqtuq	tari+(ukku)+u+qtuq
hinnaktuqtuq	hi+nna+(ktu)+qtuq
puvvitkuvit	puvvi+(tku)+vit
nakahuk	na+ka+(hu)+k
angilraqtuq	angi+(lra)+qtuq
amaaqtuq	a+(ma)+a+qtuq
iqhinaqtuq	iq+hi+(n)+a+qtuq
naammaktunga	naamma+(ktu)+nga
tikitinnatin	t+iki+(tinna)+tin
tingmiaqtuq	tingmi+(a)+qtuq
qaplunaatun	qa+pl+u+(naat)+un
atukpagaat	at+u+(kpaga)+at
kinguani	ki+(ngu)+ani
akujuq	a+(ku)+j+uq
alguangajuq	algu+(a)+nga+juq
hakhagiaq	ha+(kha)+gi+aq
kapuraut	ka+pu+(ra)+ut
milvik	mi+(l)+vi+k
nuvuja	nuvu+(ja)
pitquinikkut	pi+(tqu)+inikk+ut
milukattak	mi+lu+(katta)+k
nirumiktuq	ni+r+(umi)+kt+uq
qiniqtuq	qi+(n)+i+qtuq
ubluriaq) star	ub+lu+(riaq)+) st+ar
ingniqun	ing+niq+(u)+n
miluilitaq	mi+lu+(ili)+taq
hikun’riqtuq	h+iku+(n’r)+i+qtuq
qamittuq	qa+(mi)+tt+uq
nunaliqun	nuna+(liq)+un
kiviktaa	kiv+(i)+kt+a+a
ikkattuq	ik+(ka)+tt+uq
kiilliniq	ki+il+(li)+niq
aulalimaiguvit	aula+(limai)+guvit
auk	a+(u)+k
hitiliuqtuq	hit+(ili)+u+qtuq
qaffit	qa+(ffi)+t
nunanganut	nuna+(ngan)+ut
puvvillakkuvit	puvvi+(lla)+k+ku+vit
uqpiliurniq	u+q+p+(iliur)+niq
titirauyautikhainnik	tit+irauya+(utikha)+in+nik
piqpagiyagin	pi+(q)+pagiya+gin
nangmaktaq	nang+(mak)+taq
naqitlugu	na+(qit)+lu+gu
akituyuni	ak+(ituyu)+ni
nirihuiqtinnanga	niri+huiq+(tinna)+ng+a
ukpik	uk+(pi)+k
upalungaiqhimaguvin	up+a+lu+ng+(aiq)+hima+guvin
upalungaiyautini	u+pa+(lungaiya)+uti+ni
kidjangniq	ki+(dja)+ng+niq
ailaqtuq	a+(ila)+qtuq
makpiraqtuq	makp+(ir)+a+qtuq
akiraqtuqtaa	aki+(ra)+qtuq+taa
ivjuhiliqtaa	ivj+u+(hili)+qtaa
inuinnatnik	inuinna+(t)+nik
kihaqtuq	ki+(ha)+qtuq
pivikhaqautikhainik	pi+(vikhaqauti)+khai+nik
ronald	ro+(nald)
hamani	ha+(m)+ani
kautaujaq	ka+(uta)+uja+q
maliktakhat	mal+i+(ktakha)+t
uvattiannuaq	uv+attia+(nnu)+aq
malikhautikharniklu	mal+(ikha)+utikh+ar+nik+lu
hamunngauliqtuq	ham+unng+a+(u)+li+qtuq
nunavut	nuna+(v)+ut
kigutigikhaut	kigut+(igikha)+ut
pilaktaa	pi+(la)+kt+a+a
allujikkata	a+ll+(ujikk)+at+a
pitikhuqtuq	pi+ti+k+(hu)+qtuq
urviujaq	u+(rvi)+uja+q
pualritiik	pu+alri+(ti)+ik
hivayauytivinikkut	hivay+a+(uytivi)+nik+kut
akitujuq	aki+(tu)+j+uq
angijuugamik	angi+(juuga)+mik
qapuk	qap+(u)+k
ajurnarman	aju+(rna)+rma+n
namirmiutauyutin	na+(mi)+rmiut+auyut+in
paniqaqpunga	pa+ni+(qa)+q+punga
iiqtuqtuq	i+(iqtu)+qtuq
inirniq	i+(ni)+r+niq
irniq	(i)+r+niq
tulaktuq	tu+(la)+kt+uq
uaqhin	(uaqhi)+n
agluaq	a+(glu)+aq
hatqummiqtuq	ha+tqu+mmi+(qtu)+q
ihariagiyainniklu	iharia+(giyain)+nik+lu
imiraq	i+(mir)+aq
tuhugijaa	tu+(hu)+gijaa
pitjutiqaqtunik	p+(itjut)+iq+aqtu+nik
ihumaalugijaa	i+hu+(maalu)+gijaa
hulitjutit	huli+(tj)+uti+t
ungullaun	ungul+(la)+un
hanirarmiktuq	h+an+(irarmi)+kt+uq
uluaraut	u+lu+(ara)+ut
pittiaqhimayuni	pi+(ttiaq)+himayun+i
aannirnalaqinirmik	a+an+n+(irnalaq)+inir+mik
nakuukpiaktumik	na+ku+ukp+iak+t+(umi)+k
qilgiqtaqtuq	qilg+(iqta)+qtuq
qalviaq	qa+l+(vi)+aq
nampangit	na+(mp)+a+ngit
uqquuqut	uq+qu+(uq)+ut
ikpiguhuktuq	ik+pi+(guhu)+kt+uq
nunangini	nuna+(ngi)+ni
aqpik	(aqpi)+k
nunalaanilu	nuna+(laa)+nilu
tamagiik	t+ama+(gi)+ik
akiani	a+(ki)+ani
hiurjuut	hiurju+(u)+t
innuinaqtun	(innu)+in+aqtun
nauk	(na)+uk
pilutit	pi+(l)+uti+t
taffi	ta+(ffi)
atiliuqarnatik	at+ili+(uqarna)+tik
inugaq	inu+(g)+aq
itipjaaqtuq	(itipjaa)+qtuq
iiqtaa	i+(i)+qtaa
kapurhirvikhangit	k+apur+hirv+(ikha)+ngit
nutaaq	nu+(ta)+aq
qilluqiqtuq	qi+(lluq)+i+qtuq
apluriq	ap+(luri)+q
pingangnaq	pinga+(ngna)+q
apitilirvia	a+pit+(ili)+rvi+a
anguniaqtuliqiyitkunilu	a+ng+un+i+(aqtu)+liq+iyit+ku+nilu
atuqtuujaqtuq	at+u+(qtu)+uja+qtuq
ikayuutikhamutlu	ik+ayu+(utikha)+mut+lu
pikhiktuq	pi+(khi)+kt+uq
aulvik	a+(u)+lvik
akulliqun	(akulliq)+un
milukaqtuq	mi+lu+(k)+a+qtuq
tunulliq	tu+n+(ulli)+q
talvunga	ta+lv+(u)+ng+a
annaktuiliqiyutlu	annaktui+(liq)+iyut+lu
ukutitaq	uk+(utit)+aq
maligaliqiyitkutni	mal+i+(ga)+liq+iyit+kut+ni
iptiittuq	ip+(ti)+ittuq
inuuhimayuq	inu+(u)+hima+yuq
ikipkaqtaa	ik+(ipka)+qtaa
aahanngiq	a+(a)+hanngiq
maliqayukhauyut	mal+i+(qa)+yukh+auyut
ihumaliuqtut	i+hum+(ali)+uq+tut
hilaqqiqtuq	hila+(qq)+i+qtuq
iliuqpik	ili+(uqp)+ik
iqaluktuuttiap	iqa+luk+(tuutti)+ap
naunairutikharnik	naun+ai+(r)+utikh+ar+nik
puptan	pu+(pta)+n
qallun	(qa)+llu+n
tupaktuq	tu+p+(a)+kt+uq
uqaqatigijaa	uqa+(qatigi)+jaa
upluliuqtuq	u+pl+(uli)+u+qtuq
allarut	a+(llar)+ut
ataniuyunut	a+t+an+(i)+uyu+nut
aukhiriaq	auk+(hi)+riaq
hiuti	(hi)+uti
havangtinnagik	hav+ang+(tinna)+gik
an’ngajuktuqtuq	an’ng+aju+(ktu)+qtuq
kapihik	ka+(pihi)+k
hiqiqtuq	hi+(q)+i+qtuq
naunaipkutaq	na+una+ip+k+(uta)+q
aarluk	a+(arlu)+k
qiniqhiayunik	qin+iqhi+(a)+yu+nik
tugliq	tu+(gli)+q
ikuutaq	iku+(uta)+q
talvatuaq	ta+lv+(atu)+aq
haavraq	ha+(av)+raq
maniktaqvikhaq	man+ik+ta+(qvikha)+q
iqalaqiniriklu	iq+(alaqi)+nir+ik+lu
mamaittuq	ma+(ma)+ittuq
irniqaqpunga	irn+i+(qa)+q+punga
hingiq	hi+(ngi)+q
inuit	inu+(it)
ilitugipkainiq	ili+tug+ip+k+(a)+in+iq
makpiqhugit	makp+(iq)+hu+git
nunavunmi	nuna+(vunmi)
